101
240000
0,9368913127868731
0,005912009173331078 0,017383444703199503 -0,001641583016645687
0,9872634628077299 -0,008152127100575071 -0,0012861960595776164 0,49499981131451903
1,0474098028543468 -0,02583294511118983 -0,9877875955828239 0,2721289832311723
0,9930001733600987 0,004134667313667777 -0,01052315206677176 0,49478686022773183
0,9877311445405873 0,0030596810895047385 -0,004046377721759604 0,49740952494432805
-0,9187527955090761 1,9685001130452613 -0,9262741739547016 0,1098764114826887
1,0525159501895958 -0,11326980240458895 -0,05271286046441137 0,17750013836465522
-0,9027133400962339 0,05980875864790525 -0,011795104655574748 0,2296381022601287
1,075514230544545 1,0448330128166639 -0,7292524666442773 0,06031754588476883
-1,0685303831237423 0,003536780814409411 0,9224085606336984 0,19712552780150175
-0,023232871275295143 0,05488184726269902 -0,02292947467819753 0,5547185735731287
0,005912009173331078 0,017383444703199503 -0,001641583016645687 0,9368913127868731
0,00490528405861185 -0,010928781350568073 0,9945664775247871 0,49420563843317006
1,0013390824477542 -0,0009490961602553459 -0,0212343352210821 0,4778892443800519
0,9389962005319729 1,9015907419469926 0,09699581750546796 0,1011672469526557
0,06152088921605775 2,009587733685785 1,0086496051162066 0,14640553154493297
-0,009757188928219689 0,1331826854881744 0,9305138636547812 0,16280897594391683
-0,8401025340681936 -0,010932290337076196 0,01778891698450802 0,15555770083184473
-0,02016517404400183 -1,0172334833367909 -0,07689942750583295 0,3007917497208896
1,0030963603146297 0,9677776066659851 -0,010461618153051425 0,31539341613187993
1,033563275293179 -0,014730063357679398 -1,0023182580140233 0,2995348835028245
0,9922268412761983 0,995603324721713 -0,013532834106878415 0,33027375336110165
-1,9279763521822937 0,9934378437059028 1,0738940823212086 0,11197004891727849
-0,9983592494360725 0,0030754310360703763 -0,0029321811792406005 0,4997914290251199
1,0119886111669512 0,0007980841193246206 -0,01307647830049304 0,4792693567091876
1,1029393278611188 -0,03268915170622928 0,05017166845784704 0,20231525299155215
0,004863858855706917 -0,0038000257339328306 1,0026044361086464 0,49649665482123645
0,9923906887330541 -0,0032381767718203443 0,0017985614624964341 0,5002530264657625
-0,04535746360190274 0,10197927522044326 -0,00796711229059932 0,2930873125270575
0,004905167899539534 -0,001915161415726739 0,9965070770826611 0,49976629037881315
0,9476477805804866 -0,05065325664554815 -1,9175192953328515 0,12612077240675765
0,9997830219118049 0,9756391810493332 0,0012646143239937067 0,3258732068858131
0,9975115928021506 0,02088192166436922 -0,0010085073126531036 0,48011373579492733
0,9851131997770339 0,00694695677181704 -1,016142364235594 0,32178435129244376
0,03910521928643128 2,0091720861166795 0,9462722634012302 0,1467332204543657
0,9947302693378612 0,0028482738388943304 -0,005524127152459016 0,49934277294264046
-0,03701592825088008 0,03139314688990238 0,0410619431702019 0,5561207690960505
-0,014217482389944781 0,01736485704465841 -0,007781153653534028 0,8994025973327572
0,9913943980154896 0,9905776949071422 -0,016352713000781113 0,327949842728905
-0,010565745805846731 -0,03385458493859747 0,9731905634288626 0,4278421157235324
0,9901662270718121 -0,0022518702118125627 -0,006624707254981643 0,4977048202390495
