1001
400110
0,388290005994564
0,9160285576061411 0,8365327764086912 0,6987495728050934 0,4875519047494368 0,2358560603457326
0,9150823789439896 0,8365730152836663 0,6993309520499477 0,4868503313458529 0,24225574386229762 0,39424950619771976
0,9157401397028293 0,8366165382041983 0,6973780966623384 0,48681681084845896 0,23060561968898044 1,0897769892693807
0,9153585395021963 0,8388437200271638 0,7020566618520229 0,4874473011081869 0,2274794315883367 3,6697721906786995
0,9157401397028293 0,8366165382041983 0,6973780966623384 0,48681681084845896 0,23060561968898044 0,49797515905190465
0,9153585395021963 0,8388437200271638 0,7020566618520229 0,4874473011081869 0,2274794315883367 0,913068196603458
0,9153585395021963 0,8388437200271638 0,7020566618520229 0,4874473011081869 0,2274794315883367 1,748558542740904
0,9157401397028293 0,8366165382041983 0,6973780966623384 0,48681681084845896 0,23060561968898044 1,110940007009424
0,9160285576061411 0,8365327764086912 0,6987495728050934 0,4875519047494368 0,2358560603457326 0,4027785632812446
0,9179331722755493 0,8340978321197363 0,6962325806560645 0,4890931756952484 0,24308344624331563 3,3795920860932434
0,9179331722755493 0,8340978321197363 0,6962325806560645 0,4890931756952484 0,24308344624331563 0,5455393793403
0,9160285576061411 0,8365327764086912 0,6987495728050934 0,4875519047494368 0,2358560603457326 0,4492729589288377
0,9150823789439896 0,8365730152836663 0,6993309520499477 0,4868503313458529 0,24225574386229762 0,9590447666150119
0,9179331722755493 0,8340978321197363 0,6962325806560645 0,4890931756952484 0,24308344624331563 0,40568345580813425
0,9150823789439896 0,8365730152836663 0,6993309520499477 0,4868503313458529 0,24225574386229762 0,40476668801749055
0,9157401397028293 0,8366165382041983 0,6973780966623384 0,48681681084845896 0,23060561968898044 0,735556598621678
0,9157401397028293 0,8366165382041983 0,6973780966623384 0,48681681084845896 0,23060561968898044 5,07768785663684
0,9157401397028293 0,8366165382041983 0,6973780966623384 0,48681681084845896 0,23060561968898044 1,1417976348663295
0,9150823789439896 0,8365730152836663 0,6993309520499477 0,4868503313458529 0,24225574386229762 4,090150214187579
0,9179331722755493 0,8340978321197363 0,6962325806560645 0,4890931756952484 0,24308344624331563 0,46392483374205506
0,9150823789439896 0,8365730152836663 0,6993309520499477 0,4868503313458529 0,24225574386229762 2,259928974179824
0,9153585395021963 0,8388437200271638 0,7020566618520229 0,4874473011081869 0,2274794315883367 0,44065453246693187
0,9150823789439896 0,8365730152836663 0,6993309520499477 0,4868503313458529 0,24225574386229762 0,46275724780965266
0,9150823789439896 0,8365730152836663 0,6993309520499477 0,4868503313458529 0,24225574386229762 1,79583797996563
0,9157401397028293 0,8366165382041983 0,6973780966623384 0,48681681084845896 0,23060561968898044 0,4038391404625722
0,9150823789439896 0,8365730152836663 0,6993309520499477 0,4868503313458529 0,24225574386229762 1,3479476411192284
0,9179331722755493 0,8340978321197363 0,6962325806560645 0,4890931756952484 0,24308344624331563 1,212866555944252
0,9160285576061411 0,8365327764086912 0,6987495728050934 0,4875519047494368 0,2358560603457326 0,4738713631002723
0,9153585395021963 0,8388437200271638 0,7020566618520229 0,4874473011081869 0,2274794315883367 0,4429244700341042
0,9179331722755493 0,8340978321197363 0,6962325806560645 0,4890931756952484 0,24308344624331563 1,2684663820468187
0,9150823789439896 0,8365730152836663 0,6993309520499477 0,4868503313458529 0,24225574386229762 0,8551868334203079
0,9150823789439896 0,8365730152836663 0,6993309520499477 0,4868503313458529 0,24225574386229762 1,97162717165124
0,9150823789439896 0,8365730152836663 0,6993309520499477 0,4868503313458529 0,24225574386229762 0,6863222600869116
0,9160285576061411 0,8365327764086912 0,6987495728050934 0,4875519047494368 0,2358560603457326 0,5479872977394256
0,9153585395021963 0,8388437200271638 0,7020566618520229 0,4874473011081869 0,2274794315883367 1,846604548924258
0,9150823789439896 0,8365730152836663 0,6993309520499477 0,4868503313458529 0,24225574386229762 0,463181134420346
0,9157401397028293 0,8366165382041983 0,6973780966623384 0,48681681084845896 0,23060561968898044 0,9507818244223594
0,9153585395021963 0,8388437200271638 0,7020566618520229 0,4874473011081869 0,2274794315883367 0,44580194157126196
0,9150823789439896 0,8365730152836663 0,6993309520499477 0,4868503313458529 0,24225574386229762 0,5381870282172752
0,9153585395021963 0,8388437200271638 0,7020566618520229 0,4874473011081869 0,2274794315883367 0,6736858552733413
0,9153585395021963 0,8388437200271638 0,7020566618520229 0,4874473011081869 0,2274794315883367 0,44478349413858115
